BRAND,DNLA,SKU_NO,SEQNUM,FEATURE_NAME,FEATURE_DESCRIPTION,FEATURES_RAW,LINE_TYPE
Axler,N,1050588,1,7 lb. Maximum Load Capacity,"Rated to support a payload of up to 7 lb (3.1kg), this stabilizer is ideal for DSLRs with small rig systems, as well as pro camcorders. It will allow for the capture of steady handheld video from a compact camera system, with a difference that is unmistakable from unstabilized footage.","Rated to support a payload of up to 7 lb (3.1kg), this stabilizer is ideal for DSLRs with small rig systems, as well as pro camcorders. It will allow for the capture of steady handheld video from a compact camera system, with a difference that is unmistakable from unstabilized footage.",DETAIL
Axler,N,1050588,2,Adjustable Gimbal,"The height-adjustable gimbal can be positioned anywhere along the center column. This helps you balance heavier loads by moving the gimbal higher up on the column, reducing the amount of counterweight you need. Fewer counterweights means less stress on your arm, which results in longer shooting times before fatigue sets in.","The height-adjustable gimbal can be positioned anywhere along the center column. This helps you balance heavier loads by moving the gimbal higher up on the column, reducing the amount of counterweight you need. Fewer counterweights means less stress on your arm, which results in longer shooting times before fatigue sets in.",DETAIL
Axler,N,1050588,3,Three-Stage Center Column,"Before adding more counterweights to the stabilizer, you can extend the center column to help balance your camcorder. The stabilizer has a maximum extended height of 48.75"" and a minimum height of 20.25"".","Before adding more counterweights to the stabilizer, you can extend the center column to help balance your camcorder. The stabilizer has a maximum extended height of 48.75"" and a minimum height of 20.25"".",DETAIL
Axler,N,1050588,4,Quick Release Plate with Easy Balance Adjustment,"A quick release plate provides a fast way to mount your camera on the stabilizer, and allows you to easily adjust the forward/backward and left/right position of your camera to help achieve perfect balance. The plate is locked in place using a ratchet-style locking lever. The ratcheting feature lets you re-position the lever if your camera position prevents you from fully turning it.","A quick release plate provides a fast way to mount your camera on the stabilizer, and allows you to easily adjust the forward/backward and left/right position of your camera to help achieve perfect balance. The plate is locked in place using a ratchet-style locking lever. The ratcheting feature lets you re-position the lever if your camera position prevents you from fully turning it.",DETAIL
Axler,N,1050588,5,Retractable Spiked Feet,"The base of the stabilizer features four rubber feet which retract to revel metal spikes, allowing you to safely rest the stabilizer on a variety of surfaces once fatigue sets in. The feet even allow the stabilizer to function as a short monopod, providing added versatility when shooting. Two posts on the base platform accept the included counterweight discs for adjusting the system's center of gravity. The counterweights are secured in place via thumbscrews.","The base of the stabilizer features four rubber feet which retract to revel metal spikes, allowing you to safely rest the stabilizer on a variety of surfaces once fatigue sets in. The feet even allow the stabilizer to function as a short monopod, providing added versatility when shooting. Two posts on the base platform accept the included counterweight discs for adjusting the system's center of gravity. The counterweights are secured in place via thumbscrews.",DETAIL
Axler,N,1050588,6,Textured Rubber Grip,The stabilizer features textured rubber grip on the handle for comfort and to aid against slippage with sweaty palms. There is also rubber grip on the center-column twist-locks for easier tightening and loosening. The textured surfaces also make them easy to find in low-light situations.,The stabilizer features textured rubber grip on the handle for comfort and to aid against slippage with sweaty palms. There is also rubber grip on the center-column twist-locks for easier tightening and loosening. The textured surfaces also make them easy to find in low-light situations.,DETAIL
Axler,N,1050588,7,Bubble Levels,"The built-in bubble levels on the quick release plate can assist with precise balancing while setting up the stabilizer. This is useful when setting up on a hill or other uneven surfaces, where it's difficult to determine by eye whether the camera is level.","The built-in bubble levels on the quick release plate can assist with precise balancing while setting up the stabilizer. This is useful when setting up on a hill or other uneven surfaces, where it's difficult to determine by eye whether the camera is level.",DETAIL
Axler,N,1050588,8,Four Included Counterweights,"The four included counterweights fit onto the two counterweight posts, which allows you to add them one at a time to adjust the unit's center of gravity.","The four included counterweights fit onto the two counterweight posts, which allows you to add them one at a time to adjust the unit's center of gravity.",DETAIL
Axler,N,1050588,9,Included Carrying Case,A padded carrying case is included for easy transport and storage of stabilizer and counterweights.,A padded carrying case is included for easy transport and storage of stabilizer and counterweights.,DETAIL
Axler,N,1050588,10,"1/4"" and 3/8"" Threads","The stabilizer features 1/4"" and 3/8"" threads on the stabilizer head for storing the 1/4""-20 and 3/8""-16 camera mounting screws when not in use.","The stabilizer features 1/4"" and 3/8"" threads on the stabilizer head for storing the 1/4""-20 and 3/8""-16 camera mounting screws when not in use.",DETAIL
