BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Axler,N,1050588,1,Weight Plate,Weight Plate,1,
Axler,N,1050588,2,Counterweights,Counterweights,4,
Axler,N,1050588,3,Quick Release Plate,Quick Release Plate,1,
Axler,N,1050588,4,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,1050588,5,"3/8""-16 Screw","3/8""-16 Screw",1,
Axler,N,1050588,6,Carry Bag,Carry Bag,1,
Axler,N,1050588,7,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1050589,1,Quick-Release Plate,Quick-Release Plate,1,
Axler,N,1050589,2,Counterweights,Counterweights,4,
Axler,N,1050589,3,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,1050589,4,"3/8""-16 Screw","3/8""-16 Screw",1,
Axler,N,1050589,5,Carry Bag,Carry Bag,1,
Axler,N,1050589,6,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1063503,1,Quick-Release Adapter,Quick-Release Adapter,1,
Axler,N,1063503,2,QRP-501L Quick-Release Plate (Long),QRP-501L Quick-Release Plate (Long),1,1072986
Axler,N,1063503,3,"3/8""-16 Mounting Screw","3/8""-16 Mounting Screw",1,
Axler,N,1063503,4,Hex Key,Hex Key,1,
Axler,N,1063503,5,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1063504,1,Quick-Release Adapter,Quick-Release Adapter,1,
Axler,N,1063504,2,QRP-501S Quick-Release Plate (Standard),QRP-501S Quick-Release Plate (Standard),1,1072985
Axler,N,1063504,3,"3/8""-16 Mounting Screw","3/8""-16 Mounting Screw",1,
Axler,N,1063504,4,Hex Key,Hex Key,1,
Axler,N,1063504,5,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1069169,1,Quick-Release Plate,Quick-Release Plate,1,
Axler,N,1069169,2,Counterweights,Counterweights,2,
Axler,N,1069169,3,Counterweight Bolt,Counterweight Bolt,1,
Axler,N,1069169,4,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1072985,1,"3/8""-16 Camera Screw","3/8""-16 Camera Screw",1,
Axler,N,1072985,2,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
Axler,N,1072985,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1072986,1,"3/8""-16 Camera Screw","3/8""-16 Camera Screw",1,
Axler,N,1072986,2,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
Axler,N,1072986,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1100821,1,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,1100821,2,"3/8""-16 Screw","3/8""-16 Screw",1,
Axler,N,1100821,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
