BRAND,DNLA,SKU_NO,SEQNUM,SPEC_NAME,SPEC_VALUE,SPEC_VALUE_RAW
Axler,N,1050588,1,Maximum Load,7 lb (3.18 kg),
Axler,N,1050588,2,Sections,3,
Axler,N,1050588,3,Maximum Length,"48.75"" (123.8 cm)",
Axler,N,1050588,4,Dimensions,"20.25 x 4 x 8"" (51.4 x 10.2 x 20.3 cm)",
Axler,N,1050588,5,Weight,"Stabilizer: 3.4 lb (1.5 kg)
Counterweight (each): 5.6 oz (158.8 g)",
Axler,N,1050589,1,Maximum Load,15 lb (6.8 kg),
Axler,N,1050589,2,Sections,2,
Axler,N,1050589,3,Maximum Length,"45"" (114.3 cm)",
Axler,N,1050589,4,Dimensions,"25.5 x 4.5 x 5.5"" (64.8 x 11.4 x 14 cm)",
Axler,N,1050589,5,Weight,"Stabilizer: 5.4 lb (2.4 kg)
Counterweight (each): 11.2 oz (317.5 g)",
Axler,N,1063503,1,Quick Release Plate,Manfrotto 501PL type,
Axler,N,1063503,2,Camera Screw(s),"1/4""-20 and 3/8""-16",
Axler,N,1063503,3,Mounting Threads,"1 x 1/4""-20 1 x 3/8""-16",
Axler,N,1063503,4,Plate Length,"5.5"" (14 cm)",
Axler,N,1063503,5,Dimensions (LxWxH),"Quick-Release Adapter: 3.75 x 2.90 x 0.75"" (9.5 x 7.4 x 1.9 cm)",
Axler,N,1063503,6,Weight,10.4 oz (295 g),
Axler,N,1063504,1,Quick Release Plate,Manfrotto 501PL type,
Axler,N,1063504,2,Camera Screw(s),"1/4""-20 and 3/8""-16",
Axler,N,1063504,3,Mounting Threads,"1 x 1/4""-20 1 x 3/8""-16",
Axler,N,1063504,4,Plate Length,"3.75"" (9.5 cm)",
Axler,N,1063504,5,Dimensions (LxWxH),"Quick-Release Adapter: 3.75 x 2.90 x 0.75"" (9.5 x 7.4 x 1.9 cm)",
Axler,N,1063504,6,Weight,9.6 oz (272 g),
Axler,N,1069169,1,Maximum Load,2 lb (0.9 kg),
Axler,N,1069169,2,Sections,1,
Axler,N,1069169,3,Dimensions,"10 x 4 x 4"" (25.4 x 10.2 x 10.2 cm)",
Axler,N,1069169,4,Weight,"Stabilizer: 1.55 lb (0.7 kg)
Counterweight (including bolt): 13.8 oz (391.2 g)
Counterweight (without bolt): 13.1 oz (371.4 g)",
Axler,N,1072985,1,Length,"3.75"" (9.5 cm)",
Axler,N,1072985,2,Weight,3.2 oz (90.7 g),
Axler,N,1072986,1,Length,"5.5"" (14 cm)",
Axler,N,1072986,2,Weight,4.8 oz (136 g),
Axler,N,1100821,1,Camera Screw(s),"1/4""-20 and 3/8""-16",
Axler,N,1100822,1,Camera Screw(s),"1/4""-20 and 3/8""-16",
Axler,N,1100823,1,Camera Screw(s),"1/4""-20",
Axler,N,1100824,1,Rail Material,Carbon-fiber,
Axler,N,1100824,2,Load Capacity,50 lb (22.7 kg),
Axler,N,1100824,3,Slide Length,"30"" (76 cm)",
Axler,N,1100824,4,Camera Mounting Screw,"1/4""-20 (3/8""-16 bushing included)",
Axler,N,1100824,5,Tripod Mounting Threads,"1/4""-20 and 3/8""-16",
Axler,N,1100824,6,Dimensions,"35 x 5 x 4"" (88.9 x 12.7 x 10.2 cm)",
Axler,N,1100824,7,Weight,7 lb (3.2 kg),
Axler,N,1109797,1,Load Capacity,17.6 lb (8 kg),
Axler,N,1109797,2,Slide Length,"20"" (50 cm)
40"" (100 cm), with one set of extension rods
60"" (150 cm), with two sets of extension rods",
Axler,N,1109797,3,Rail Material,Aluminum,
Axler,N,1109797,4,Camera Mounting Screw,"1/4""-20 (3/8""-16 bushing included)",
Axler,N,1109797,5,Tripod Mounting Threads,"1/4""-20 and 3/8""-16",
Axler,N,1109797,6,Dimensions,"26.25 x 14.75 x 4.6"" (66.7 x 37.5 x 11.7 cm)",
Axler,N,1109797,7,Weight,10.5 lb (4.8 kg),
Axler,N,1110938,1,Dimensions,"40.25 x 0.38"" (102.2 x 0.95 cm)",
Axler,N,1110938,2,Weight,1.6 oz (45 g),
Axler,N,1110939,1,Dimensions,"79.25 x 0.38"" (201.3 x 0.95 cm)",
Axler,N,1110939,2,Weight,2.4 oz (68 g),
Axler,N,1110940,1,Dimensions,"119 x 0.38"" (302.3 x 0.95 cm)",
Axler,N,1110940,2,Weight,4 oz (113 g),
Axler,N,1110941,1,Dimensions,"0.4 x 63"" (1 x 160 cm)",
Axler,N,1110941,2,Weight,1.7 oz (49 g),
Axler,N,1149085,1,Load Capacity,1.9 lb (860 g),
Axler,N,1149085,2,Range of Motion (Rotation),"Roll: 355&deg; (&#177;60&deg;)
Pitch: 355&deg; (&#177;180&deg;)
Yaw: 355&deg;",
Axler,N,1149085,3,Camera Mounting Screw,"1/4""-20",
Axler,N,1149085,4,Power,"3 x 18650 lithium-ion batteries (3.7 V, 2600 mAh)",
Axler,N,1149085,5,Battery Life,2 to 3 hours,
Axler,N,1149085,6,Power Input,"2 x Micro-USB (one on handle, one on battery tray)",
Axler,N,1149085,7,Power Output,1 x USB (5 VDC),
Axler,N,1149085,8,Dimensions,"10.5 x 4.8 x 6.6"" (26.7 x 12.2 x 16.8 cm)",
Axler,N,1149085,9,Weight,"With Batteries: 1.9 lb (860 g)
Without Batteries: 1.6 lb (720 g)",
Axler,N,1154180,1,Material,Aluminum,
Axler,N,1154180,2,Dimensions,"6.75 x 1"" (17.15 x 2.54 cm)",
Axler,N,1154180,3,Weight,2.4 oz (68 g),
Axler,N,1161848,1,Camera Compatibility,"Sony a7, a7R, a7S, a7 II, a7R II, a7S II",
Axler,N,1161848,2,Material of Construction,"Cage: Aluminum
Grip: Rosewood
15 mm Rods: Aluminum",
Axler,N,1161848,3,Rod Standard,15 mm LWS (60 mm spacing),
Axler,N,1161848,4,Accessory Mounting Threads,"1/4""-20 and 3/8""-16",
Axler,N,1161848,5,Tripod Mounting Threads,"1/4""-20 and 3/8""-16",
Axler,N,1161848,6,15mm Rod Length,"11.75"" (29.8 cm)",
Axler,N,1161848,7,Dimensions,"Cage: 4 x 6 x 2.5"" (10.2 x 15.2 x 6.3 cm)
Top Handle: 3.25 x 1 x 6"" (8.2 x 2.5 x 15.2 cm)
Baseplate: 2.75 x 4.25 x 1.75"" (7 x 10.8 x 4.4 cm)",
Axler,N,1161848,8,Weight,Fully Assembled (Without Camera): 2.3 lb (1 kg),
Axler,N,1203377,1,Sliding Length,"Surface-Mounted: 18"" (46 cm) 
Tripod-Mounted: 30"" (76 cm)",
Axler,N,1203377,2,Load Capacity,13 lb (5.9 kg),
Axler,N,1203377,3,Mount Types,"Quick-release insert with 1/4""-20 camera screw (3/8""-16 bushing included) 

1/4""-20 and 3/8""-16 tripod mount threaded holes",
Axler,N,1203377,4,Bubble Level,Yes,
Axler,N,1203377,5,Dimensions,"20.5 x 3.4 x 2.5"" (52 x 8.6 x 6.4 cm)",
Axler,N,1203377,6,Weight,3.85 lb (1.75 kg),
Axler,N,1204481,1,Load Capacity,50 lb (22.7 kg),
Axler,N,1204481,2,Rail Material,Carbon fiber,
Axler,N,1204481,3,Rail Length,"30"" (76 cm)",
Axler,N,1204481,4,Mounting Screw,"3/8""-16",
Axler,N,1204481,5,Tripod Mounting Threads,"1/4""-20 and 3/8""-16",
Axler,N,1204481,6,Dimensions,"2.75 x 7 x 31.5"" (7 x 17.8 x 80 cm)",
Axler,N,1204481,7,Weight,3.55 lb (1.6 kg),
Axler,N,1205408,1,Maximum Load,1.5 lb (0.68 kg),
